First Lan, Lon: 43.722971,11.202176
TIME: 18:42:51, LAT: 41,7741191682335, LON: 13,0323359462235
TIME: 18:42:57, LAT: 41,7656838152398, LON: 13,034551540251
TIME: 18:43:03, LAT: 41,752395150757, LON: 13,0361236172064
TIME: 18:43:08, LAT: 41,7426816479653, LON: 13,0391860940537
TIME: 18:43:13, LAT: 41,7273368515725, LON: 13,0411850065407
TIME: 18:43:20, LAT: 41,7154696553777, LON: 13,0433476389597
TIME: 18:43:25, LAT: 41,7083744911662, LON: 13,0462010805129
TIME: 18:43:30, LAT: 41,6947268654388, LON: 13,047501866529
TIME: 18:43:36, LAT: 41,6846115319669, LON: 13,0493189961113
TIME: 18:43:42, LAT: 41,6713175151679, LON: 13,0514798709793
TIME: 18:43:47, LAT: 41,6592330007557, LON: 13,0522351611228
TIME: 18:43:52, LAT: 41,6486443021578, LON: 13,0546199835225
TIME: 18:43:58, LAT: 41,6390718062821, LON: 13,0571469234009
TIME: 18:44:04, LAT: 41,6306037389864, LON: 13,058467977788
TIME: 18:44:09, LAT: 41,6227141020377, LON: 13,0613191125044
TIME: 18:44:15, LAT: 41,6156765365668, LON: 13,0644441594806
TIME: 18:44:20, LAT: 41,6019541810517, LON: 13,0646885038011
TIME: 18:44:27, LAT: 41,5870379405656, LON: 13,0640349521325
TIME: 18:44:32, LAT: 41,5661994867038, LON: 13,0600433359363
TIME: 18:44:37, LAT: 41,5579367358179, LON: 13,0618033988572
TIME: 18:44:44, LAT: 41,5444708297008, LON: 13,0621124945767
TIME: 18:44:49, LAT: 41,5390269163121, LON: 13,0651351385431
TIME: 18:44:54, LAT: 41,5242853104513, LON: 13,0643117260664
TIME: 18:44:59, LAT: 41,5139452023567, LON: 13,0642452615606
TIME: 18:45:06, LAT: 41,5058648087998, LON: 13,0669287347791
TIME: 18:45:11, LAT: 41,4910876388763, LON: 13,0652150582245
TIME: 18:45:16, LAT: 41,4837962785983, LON: 13,0681452645841
TIME: 18:45:22, LAT: 41,4707139258148, LON: 13,0670409585325
TIME: 18:45:28, LAT: 41,4614560118561, LON: 13,0683721210528
TIME: 18:45:33, LAT: 41,4468214004515, LON: 13,06720302401
TIME: 18:45:39, LAT: 41,4385295492736, LON: 13,0689281003406
TIME: 18:45:44, LAT: 41,4279645418558, LON: 13,0687948971568
TIME: 18:45:50, LAT: 41,4167614017002, LON: 13,0647805576783
TIME: 18:45:56, LAT: 41,4048278338525, LON: 13,0614825196378
TIME: 18:46:01, LAT: 41,3982062744629, LON: 13,0608151286358
TIME: 18:46:06, LAT: 41,3840973809171, LON: 13,0535167344488
TIME: 18:46:13, LAT: 41,3756358993959, LON: 13,0509276826549
TIME: 18:46:18, LAT: 41,3643094827913, LON: 13,0454787171134
TIME: 18:46:23, LAT: 41,3569232287485, LON: 13,0435768843371
TIME: 18:46:29, LAT: 41,3487394319372, LON: 13,0425110212174
TIME: 18:46:35, LAT: 41,336516253363, LON: 13,0355616479291
TIME: 18:46:40, LAT: 41,3265272806857, LON: 13,0323265017623
TIME: 18:46:45, LAT: 41,3152490235421, LON: 13,0257565179983
TIME: 18:46:51, LAT: 41,3070152439635, LON: 13,0239971908037
TIME: 18:46:57, LAT: 41,2961373600672, LON: 13,0191786807266
TIME: 18:47:03, LAT: 41,2868021926965, LON: 13,0141006493468
TIME: 18:47:08, LAT: 41,2785221582457, LON: 13,0118935585418
TIME: 18:47:13, LAT: 41,2678105210311, LON: 13,0085202760309
TIME: 18:47:20, LAT: 41,256766499521, LON: 13,0026476649148
TIME: 18:47:25, LAT: 41,2477945976573, LON: 12,9990571269842
TIME: 18:47:30, LAT: 41,2352131617923, LON: 12,9926266234653
TIME: 18:47:36, LAT: 41,2260553843317, LON: 12,9884386491567
TIME: 18:47:42, LAT: 41,2135037012993, LON: 12,9814403331762
TIME: 18:47:47, LAT: 41,2105870257693, LON: 12,9873944089785
TIME: 18:47:52, LAT: 41,1947096383863, LON: 12,9753242802505
TIME: 18:47:59, LAT: 41,1864379185395, LON: 12,9736806202069
TIME: 18:48:04, LAT: 41,1749232706437, LON: 12,9692273243062
TIME: 18:48:09, LAT: 41,1658088536342, LON: 12,9660589297331
TIME: 18:48:15, LAT: 41,1552479261699, LON: 12,9626315918279
TIME: 18:48:21, LAT: 41,1445084077941, LON: 12,958735081828
TIME: 18:48:26, LAT: 41,1345659567156, LON: 12,9559102734287
TIME: 18:48:32, LAT: 41,1255776851884, LON: 12,9566059140106
TIME: 18:48:37, LAT: 41,1155910345456, LON: 12,9534494880313
TIME: 18:48:43, LAT: 41,1014682112105, LON: 12,943130537693
TIME: 18:48:49, LAT: 41,0923770945042, LON: 12,9433340302312
TIME: 18:48:54, LAT: 41,0833224582049, LON: 12,9411984495617
TIME: 18:48:59, LAT: 41,0749649523583, LON: 12,9425391191622
TIME: 18:49:06, LAT: 41,0607959000795, LON: 12,9333250173795
TIME: 18:49:11, LAT: 41,0475827020281, LON: 12,9254251556233
TIME: 18:49:16, LAT: 41,0375468295907, LON: 12,9208286306821
TIME: 18:49:22, LAT: 41,025903397308, LON: 12,9152993837347
TIME: 18:49:28, LAT: 41,0190928723436, LON: 12,9191791339357
TIME: 18:49:33, LAT: 41,0066463777111, LON: 12,9117892267517
TIME: 18:49:38, LAT: 40,9972446901769, LON: 12,9128677271948
TIME: 18:49:44, LAT: 40,9838981670357, LON: 12,9031126898611
TIME: 18:49:50, LAT: 40,9745978246795, LON: 12,9042015694295
TIME: 18:49:55, LAT: 40,961144828811, LON: 12,8962004720858
TIME: 18:50:01, LAT: 40,9540167330401, LON: 12,9018767421398
TIME: 18:50:07, LAT: 40,9406589549759, LON: 12,8937509871706
TIME: 18:50:12, LAT: 40,9303873490075, LON: 12,8923155322306
TIME: 18:50:18, LAT: 40,9200978368685, LON: 12,8907392464717
TIME: 18:50:23, LAT: 40,9090574264639, LON: 12,8873004846502
TIME: 18:50:30, LAT: 40,8948488202888, LON: 12,8760718125528
